Configuration,Removed,Accuracy,F1-Macro,AUC,F1 Drop
Full Ensemble (all 5),—,0.9838,0.9838,0.9993,0.0
Without DenseNet201,DenseNet201,0.9804,0.9804,0.999,0.0034
Without EfficientNetB4,EfficientNetB4,0.9833,0.9833,0.9992,0.0005
Without ResNet50V2,ResNet50V2,0.9817,0.9817,0.9993,0.0021
Without InceptionV3,InceptionV3,0.9838,0.9837,0.999,0.0001
Without ConvNeXtTiny,ConvNeXtTiny,0.9821,0.9821,0.9992,0.0017
Single — DenseNet201,all others,0.9717,0.9716,0.9987,0.0122
Single — EfficientNetB4,all others,0.9537,0.9538,0.9968,0.03
Single — ResNet50V2,all others,0.9696,0.9696,0.9978,0.0142
Single — InceptionV3,all others,0.9496,0.9497,0.9962,0.0341
Single — ConvNeXtTiny,all others,0.9679,0.9679,0.9977,0.0159
