Classifier,Val F1,Val Acc,Test F1,Test Acc,AUC
Extra Trees,0.98,0.98,0.9838,0.9838,0.9985
KNN (k=5),0.9766,0.9767,0.9834,0.9833,0.9922
LDA,0.9783,0.9783,0.983,0.9829,0.9936
SVM Linear,0.98,0.98,0.9829,0.9829,0.9989
KNN (k=9),0.9783,0.9783,0.9825,0.9825,0.9939
SVM RBF,0.9792,0.9792,0.9825,0.9825,0.9965
Logistic Regression,0.9791,0.9792,0.9825,0.9825,0.999
XGBoost,0.9779,0.9779,0.9817,0.9817,0.9992
Random Forest,0.9804,0.9804,0.9817,0.9817,0.9986
Gradient Boosting,0.98,0.98,0.9804,0.9804,0.9988
MLP,0.98,0.98,0.9788,0.9788,0.9975
Naive Bayes,0.978,0.9779,0.9776,0.9775,0.9942
